,username,oneStarBadge,twoStarBadge,threeStarBadge,fourStarBadge,fiveStarBadge,basic_Certificate,intermediate_Certificate,adavanced_Certificate
0,23955A6701,0,0,0,0,0,0,0,0
1,23955A6703,0,0,0,0,0,0,0,0
2,22951A0487,0,0,0,0,0,0,0,0
3,23955A6614,0,0,0,0,0,0,0,0
4,22951A0562,0,0,0,0,0,0,0,0
5,22951A6651,0,0,0,1,0,1,0,0
6,23955A0513,0,0,0,0,0,0,0,0
7,22951A33A9,0,0,0,0,0,0,0,0
8,22951A0544,0,2,0,0,1,2,0,0
9,22951A6604,0,0,2,0,0,2,0,0
10,22951A05K0,1,2,0,1,1,1,0,0
11,22951A05G6,0,1,0,1,0,2,0,0
12,22951A05G7,0,1,1,0,1,3,0,0
13,22951A05E1,0,0,0,0,0,0,0,0
14,22951A05F0,0,0,0,0,0,0,0,0
15,22951A6753,1,2,1,1,0,2,0,0
16,22951A05J2,0,0,0,0,0,0,0,0
17,22951A0478,0,0,0,0,1,1,0,0
18,22951A62C3,0,0,1,1,0,0,0,0
19,22951A0580,0,1,0,2,2,0,0,0
20,22951A1237,0,0,0,0,0,0,0,0
21,22951A33C3,1,0,0,0,1,2,0,0
22,22951A1249,0,0,1,0,0,0,0,0
23,23955A6717,0,0,0,0,0,0,0,0
24,22951A67B5,0,1,0,1,1,1,0,0
25,22951A6772,0,1,1,1,0,4,1,0
26,22951A04G8,0,0,0,0,0,0,0,0
27,22951A05R8,0,1,1,1,0,3,0,0
28,22951A6786,0,1,0,1,0,0,0,0
29,22951A62C2,0,0,0,0,0,0,0,0
30,22951A6676,0,0,0,0,0,0,0,0
31,22951A6717,0,1,1,0,1,1,0,0
32,22951A05H7,0,0,0,1,0,0,0,0
33,23955A6609,0,0,0,1,2,2,0,0
34,22951A0514,0,0,0,0,0,0,0,0
35,22951A1293,0,1,0,1,0,2,1,0
36,22951A1231,0,0,0,0,0,0,0,0
37,22951A6673,0,0,0,0,0,0,0,0
38,22951A6663,0,0,3,0,1,0,0,0
39,22951A3362,0,0,0,0,0,0,0,0
40,22951A66J6,0,0,1,0,0,0,0,0
41,22951A3335,0,0,1,0,1,0,0,0
42,22951A6286,0,0,0,0,0,0,0,0
43,22951A1222,1,1,0,1,0,2,0,0
44,22951A6771,0,0,2,2,1,3,0,0
45,22951A62B4,2,1,0,2,0,0,0,0
46,22951A05P3,0,0,0,0,0,0,0,0
47,22951A66A7,1,1,1,1,1,1,0,0
48,22951A05C2,0,0,0,0,0,0,0,0
49,22951A67B6,1,1,1,2,0,1,0,0
50,22951A66B1,0,0,1,0,1,0,0,0
51,22951A0504,0,0,0,0,0,0,0,0
52,22951A1243,0,0,0,0,0,0,0,0
53,22951A04C5,1,0,0,0,0,1,0,0
54,22951A0541,0,1,1,1,1,2,0,0
55,22951A04N3,0,1,0,1,0,0,0,0
56,22951A3310,0,0,0,0,0,0,0,0
57,22951A68A1,0,0,0,0,0,0,0,0
58,22951A33A3,0,0,1,0,0,1,0,0
59,23955A6718,0,1,0,1,0,2,0,0
60,22951A6774,0,0,0,0,2,2,0,0
61,22951A0546,0,0,0,0,0,0,0,0
62,22951A05M9,1,1,1,0,1,2,0,0
63,22951A6793,0,1,1,0,0,3,0,0
